Game,NFT,NFT Name,Tier,Owner Wallet,Kills,Survived For (milliseconds)
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/792,Hounds #792,ALPHA,0x1f41aa0117d9cf574c26cacf5bf816127a38867f,2,34702
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/57,Hounds #57,DELTA,0x877126425de7c3f93ea51f9523c67fa95620669b,0,34633
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/684,Insectoids #684,DELTA,0x027381ba66e5b7f9d811b8535d9741e01e96e8fe,1,32547
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5611,null,null,0x381b0a36e73d9e250fd7cc635c43da9fd77f1111,0,32210
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/548,Hounds #548,ALPHA,0xe6d3736d2b07f9708935322ec63a0d2ce765c717,0,31515
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4935,null,null,0x959a221c92ba629b703d7a250b54d23298d750da,0,30984
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/5238,null,null,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,0,29496
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/1265,null,null,0x30e64b8e4bacc2baef74ac59d33ab230a2889d50,0,29080
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/724,Insectoids #724,DELTA,0x381b0a36e73d9e250fd7cc635c43da9fd77f1111,0,28547
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5519,null,null,0x0dc0d4e884a5a9d95bee21d132d46d57129a5798,1,27266
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/268,Avian #268,DELTA,0x959a221c92ba629b703d7a250b54d23298d750da,0,26798
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/434,Avian #434,ALPHA,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,1,25010
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/773,Insectoids #773,DELTA,0x5b164eb61055a5ea9a07205dc339d95a92f861aa,0,21526
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/273,Hounds #273,DELTA,0xf4fa1c4ddd5d68189a8032911cb5a3df8ce881a1,0,20150
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4851,null,null,0x1f41aa0117d9cf574c26cacf5bf816127a38867f,0,20072
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4949,null,null,0xc45cc906e4430645e2980a431b844af228216a25,0,19138
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/597,Avian #597,DELTA,0x8f3d1dc71b03a603c0b0b63d86ed9090bf04931b,0,18693
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/240,Hounds #240,BETA,0xe6d3736d2b07f9708935322ec63a0d2ce765c717,0,18159
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/284,Serpents #284,DELTA,0x1553ec813dea924ad8fc984b384cf026386298f3,0,16007
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/774,Avian #774,DELTA,0x88c44ac39ddff25d9a706fc8991469eb56b27fa3,0,15634
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5496,null,null,0x877126425de7c3f93ea51f9523c67fa95620669b,0,15378
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4790,null,null,0x877126425de7c3f93ea51f9523c67fa95620669b,0,15182
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5566,null,null,0x5b164eb61055a5ea9a07205dc339d95a92f861aa,0,14949
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/98,Hounds #98,DELTA,0x44720a8c68d0aaf43f7c2228ca137037310e4d25,0,14156
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4836,null,null,0x1553ec813dea924ad8fc984b384cf026386298f3,0,13167
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/542,Hounds #542,BETA,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,0,11162
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4845,null,null,0x072c3ee4e4c5e4eabb7f484738797fbf260f056b,0,10522
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/696,Hounds #696,BETA,0xe6d3736d2b07f9708935322ec63a0d2ce765c717,0,9755
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/611,Avian #611,BETA,0xe6d3736d2b07f9708935322ec63a0d2ce765c717,0,5743
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5506,null,null,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,0,4693
null,null,Insectoids #1,DELTA,null,null,null
null,null,Avian #2,BETA,null,null,null
null,null,Insectoids #3,DELTA,null,null,null
null,null,Hounds #4,DELTA,null,null,null
null,null,Avian #5,DELTA,null,null,null
null,null,Serpents #6,DELTA,null,null,null
null,null,Insectoids #7,DELTA,null,null,null
null,null,Insectoids #8,BETA,null,null,null
null,null,Insectoids #9,BETA,null,null,null
null,null,Serpents #10,DELTA,null,null,null
null,null,Hounds #11,DELTA,null,null,null
null,null,Avian #12,DELTA,null,null,null
null,null,Avian #13,BETA,null,null,null
null,null,Insectoids #14,DELTA,null,null,null
null,null,Avian #15,DELTA,null,null,null
null,null,Avian #16,DELTA,null,null,null
null,null,Hounds #17,DELTA,null,null,null
null,null,Insectoids #18,DELTA,null,null,null
null,null,Insectoids #19,DELTA,null,null,null
null,null,Serpents #21,BETA,null,null,null
null,null,Insectoids #22,BETA,null,null,null
null,null,Hounds #23,BETA,null,null,null
null,null,Avian #24,DELTA,null,null,null
null,null,Serpents #25,DELTA,null,null,null
null,null,Hounds #26,DELTA,null,null,null
null,null,Insectoids #27,DELTA,null,null,null
null,null,Hounds #28,BETA,null,null,null
null,null,Avian #29,DELTA,null,null,null
null,null,Hounds #30,DELTA,null,null,null
null,null,Avian #31,DELTA,null,null,null
null,null,Insectoids #32,BETA,null,null,null
null,null,Serpents #33,DELTA,null,null,null
null,null,Insectoids #34,DELTA,null,null,null
null,null,Serpents #36,BETA,null,null,null
null,null,Avian #37,DELTA,null,null,null
null,null,Avian #38,BETA,null,null,null
null,null,Avian #39,DELTA,null,null,null
null,null,Insectoids #40,DELTA,null,null,null
null,null,Insectoids #41,DELTA,null,null,null
null,null,Insectoids #42,DELTA,null,null,null
null,null,Serpents #43,DELTA,null,null,null
null,null,Insectoids #44,ALPHA,null,null,null
null,null,Serpents #45,ALPHA,null,null,null
null,null,Hounds #46,DELTA,null,null,null
null,null,Serpents #47,DELTA,null,null,null
null,null,Hounds #48,BETA,null,null,null
null,null,Avian #49,DELTA,null,null,null
null,null,Insectoids #50,DELTA,null,null,null
null,null,Avian #52,DELTA,null,null,null
null,null,Hounds #53,DELTA,null,null,null
null,null,Insectoids #54,ALPHA,null,null,null
null,null,Serpents #55,BETA,null,null,null
null,null,Avian #58,DELTA,null,null,null
null,null,Insectoids #59,DELTA,null,null,null
null,null,Hounds #60,BETA,null,null,null
null,null,Hounds #61,DELTA,null,null,null
null,null,Avian #62,DELTA,null,null,null
null,null,Avian #63,DELTA,null,null,null
null,null,Avian #64,DELTA,null,null,null
null,null,Serpents #65,DELTA,null,null,null
null,null,Avian #66,BETA,null,null,null
null,null,Insectoids #67,ALPHA,null,null,null
null,null,Insectoids #68,DELTA,null,null,null
null,null,Insectoids #69,BETA,null,null,null
null,null,Insectoids #70,DELTA,null,null,null
null,null,Serpents #71,DELTA,null,null,null
null,null,Hounds #72,DELTA,null,null,null
null,null,Serpents #73,DELTA,null,null,null
null,null,Serpents #74,BETA,null,null,null
null,null,Hounds #75,DELTA,null,null,null
null,null,Insectoids #76,DELTA,null,null,null
null,null,Hounds #77,DELTA,null,null,null
null,null,Serpents #78,BETA,null,null,null
null,null,Serpents #79,DELTA,null,null,null
null,null,Avian #80,ALPHA,null,null,null
null,null,Insectoids #81,DELTA,null,null,null
null,null,Serpents #82,DELTA,null,null,null
null,null,Hounds #83,DELTA,null,null,null
null,null,Insectoids #84,DELTA,null,null,null
null,null,Serpents #85,DELTA,null,null,null
null,null,Insectoids #86,BETA,null,null,null
null,null,Serpents #87,ALPHA,null,null,null
null,null,Hounds #88,BETA,null,null,null
null,null,Avian #89,BETA,null,null,null
null,null,Serpents #90,DELTA,null,null,null
null,null,Avian #91,DELTA,null,null,null
null,null,Insectoids #92,DELTA,null,null,null
null,null,Hounds #93,BETA,null,null,null
null,null,Avian #94,DELTA,null,null,null
null,null,Avian #95,DELTA,null,null,null
null,null,Hounds #96,DELTA,null,null,null
null,null,Insectoids #97,ALPHA,null,null,null
null,null,Avian #99,DELTA,null,null,null
null,null,Insectoids #100,ALPHA,null,null,null
null,null,Hounds #102,DELTA,null,null,null
null,null,Hounds #103,DELTA,null,null,null
null,null,Hounds #104,DELTA,null,null,null
null,null,Avian #105,DELTA,null,null,null
null,null,Insectoids #106,BETA,null,null,null
null,null,Serpents #107,DELTA,null,null,null
null,null,Hounds #108,DELTA,null,null,null
null,null,Insectoids #109,ALPHA,null,null,null
null,null,Serpents #110,DELTA,null,null,null
null,null,Hounds #111,BETA,null,null,null
null,null,Avian #112,DELTA,null,null,null
null,null,Serpents #113,ALPHA,null,null,null
null,null,Avian #114,DELTA,null,null,null
null,null,Insectoids #115,BETA,null,null,null
null,null,Avian #116,DELTA,null,null,null
null,null,Avian #117,DELTA,null,null,null
null,null,Hounds #118,SIGMA,null,null,null
null,null,Serpents #119,DELTA,null,null,null
null,null,Avian #120,DELTA,null,null,null
